index,time,event,player_id,starred
210,1335.11,pass,10,0
211,1335.63,pass,8,0
212,1339.14,pass,3,0
213,1340.45,pass,16,0
214,1344.62,pass,7,0
215,1345.94,pass,11,0
216,1347.50,pass,3,0
217,1347.88,block,13,0
218,1349.09,tackle,3,0
219,1350.85,pass,15,0
220,1351.93,pass,1,0
221,1353.22,pass,15,0
222,1355.92,pass,12,0
223,1359.46,pass,4,0
224,1361.00,interception,7,0
225,1361.63,pass,7,0
226,1362.97,interception,4,0
227,1364.11,pass,4,0
228,1366.82,tackle,11,0
229,1368.49,tackle,15,0
230,1370.22,dribble,13,0
231,1372.35,shot,13,0
232,1373.04,save,6,0
233,1373.74,goal,5,1
234,1401.70,pass,8,0
235,1403.91,pass,11,0
236,1404.59,pass,8,0
237,1406.16,pass,7,0
238,1406.55,dribble,8,0
239,1411.36,pass,8,0
240,1411.89,block,1,0
241,1475.41,pass,8,0
242,1477.00,pass,7,0
243,1488.83,pass,6,0
244,1490.11,pass,12,0
245,1492.02,pass,13,0
246,1495.85,pass,5,0
247,1496.20,block,8,0
248,1506.31,pass,13,0
249,1507.03,pass,5,0
250,1508.14,pass,13,0
251,1508.69,block,16,0
252,1513.35,pass,13,0
253,1514.53,save,10,0
254,1516.13,pass,10,0
255,1518.41,pass,2,0
256,1519.00,dribble,9,1
257,1521.95,pass,9,0
258,1524.34,tackle,12,0
259,1540.55,pass,9,0
260,1541.42,pass,8,0
261,1544.09,pass,9,0
262,1545.72,shot,2,0
263,1546.28,block,12,0
264,1554.93,pass,2,0
265,1556.57,shot,8,0
266,1558.09,shot,7,0
267,1564.14,pass,6,0
268,1565.71,pass,15,0
269,1568.69,shot,1,0
270,1569.30,save,10,0
271,1575.67,pass,10,0
272,1576.98,pass,3,0
273,1580.27,pass,16,0
274,1591.65,pass,6,0
275,1593.74,pass,15,0
276,1603.13,pass,10,0
277,1606.48,pass,2,0
278,1609.62,pass,8,0
279,1613.67,pass,16,0
280,1615.00,pass,3,0
281,1617.03,pass,11,0
282,1618.98,shot,2,0
283,1619.78,block,12,0
284,1626.86,pass,2,0
285,1628.23,shot,7,1
286,1629.07,save,6,0
287,1630.45,shot,11,0
288,1630.84,save,6,0
289,1633.58,pass,1,0
290,1634.83,interception,8,0
291,1637.08,foul,13,0
292,1646.81,pass,2,0
293,1656.65,pass,10,0
294,1659.32,pass,16,0
295,1659.73,pass,8,0
296,1661.90,foul,12,0
297,1682.78,shot,2,0
298,1684.10,block,1,0
299,1696.90,pass,2,0
300,1697.69,save,6,0
301,1717.04,pass,16,0
302,1720.64,pass,3,0
303,1722.48,pass,16,0
304,1727.74,shot,11,1
305,1732.49,pass,6,0
306,1734.42,pass,5,0
307,1738.91,pass,15,0
308,1741.26,pass,12,0
309,1742.85,pass,13,0
310,1745.51,pass,5,0
311,1746.59,shot,1,1
312,1751.77,pass,10,0
313,1754.43,pass,11,0
314,1756.48,pass,9,0
315,1757.27,pass,2,0
316,1758.95,shot,9,0
317,1764.46,pass,6,0
